make,fuel_type,num_of_doors,body_style,drive_wheels,engine_location,curb_weight,num_of_cylinders,horsepower,peak_rpm,city_mpg,highway_mpg,price,img
gauf-izquire,gas,two,convertible,rwd,front,2548,four,111,5000,21,27,13495,https://img2.cgtrader.com/items/810407/02ef70641d/alfa-romeo-8c-spider-3d-model-obj-3ds-fbx-c4d-dae.jpg
gauf-izquire,gas,two,convertible,rwd,front,2548,four,111,5000,21,27,16500,https://img2.cgtrader.com/items/810407/02ef70641d/alfa-romeo-8c-spider-3d-model-obj-3ds-fbx-c4d-dae.jpg
gauf-izquire,gas,two,hatchback,rwd,front,2823,six,154,5000,19,26,16500,https://img2.cgtrader.com/items/39439/087cd09563/volkswagen-golf-vii-r-2014-3d-model-max-obj-3ds-fbx-c4d-lwo-lw-lws.jpg
jaudo,gas,four,sedan,fwd,front,2337,four,102,5500,24,30,13950,https://img1.cgtrader.com/items/2167509/e1a952e583/tesla-model-3-with-hq-interior-2018-3d-model-max-obj-mtl-3ds-fbx-c4d-lwo-lw-lws.jpg
jaudo,gas,four,sedan,4wd,front,2824,five,115,5500,18,22,17450,https://img-new.cgtrader.com/items/12708/1dad048aa2/lexus-ls-xf20-1997-3d-model-max-obj-3ds-fbx-c4d-lwo-lw-lws.jpg
jaudo,gas,two,sedan,fwd,front,2507,five,110,5500,19,25,15250,https://img-new.cgtrader.com/items/2198786/cb9da1ac18/audi-rs5-coupe-3d-model-fbx.jpg
jaudo,gas,four,sedan,fwd,front,2844,five,110,5500,19,25,17710,https://img1.cgtrader.com/items/665111/6286bb58c4/hyundai-elantra-sedan-2016-vray-3d-model-max-obj-3ds-fbx-c4d-lwo-lw-lws.jpg
jaudo,gas,four,wagon,fwd,front,2954,five,110,5500,19,25,18920,https://img2.cgtrader.com/items/2113353/ac8987ebb8/audi-rs6-avant-2020-3d-model-max--obj-mtl-3ds-fbx-c4d-lwo-lw-lws.jpg
jaudo,gas,four,sedan,fwd,front,3086,five,140,5500,17,20,23875,https://img-new.cgtrader.com/items/1890586/6ddec3cbf0/mercedes-c-class-3d-model-mat.jpg
jaudo,gas,two,hatchback,4wd,front,3053,five,160,5500,16,22,16255,https://img1.cgtrader.com/items/831193/2beb4f6c58/fiat-uno-3d-model-max-bip-obj-mtl-3ds-stl-mat.jpg
zmw,gas,two,sedan,rwd,front,2395,four,101,5800,23,29,16430,https://img-new.cgtrader.com/items/2198786/cb9da1ac18/audi-rs5-coupe-3d-model-fbx.jpg
zmw,gas,four,sedan,rwd,front,2395,four,101,5800,23,29,16925,https://img1.cgtrader.com/items/665111/6286bb58c4/hyundai-elantra-sedan-2016-vray-3d-model-max-obj-3ds-fbx-c4d-lwo-lw-lws.jpg
zmw,gas,two,sedan,rwd,front,2710,six,121,4250,21,28,20970,https://img1.cgtrader.com/items/768188/527f2449f4/aston-martin-vanquish-3d-model-max-fbx-c4d-dae.jpg
zmw,gas,four,sedan,rwd,front,2765,six,121,4250,21,28,21105,https://img-new.cgtrader.com/items/12708/1dad048aa2/lexus-ls-xf20-1997-3d-model-max-obj-3ds-fbx-c4d-lwo-lw-lws.jpg
zmw,gas,four,sedan,rwd,front,3055,six,121,4250,20,25,24565,https://img-new.cgtrader.com/items/12708/1dad048aa2/lexus-ls-xf20-1997-3d-model-max-obj-3ds-fbx-c4d-lwo-lw-lws.jpg
zmw,gas,four,sedan,rwd,front,3230,six,182,5400,16,22,30760,https://img-new.cgtrader.com/items/12708/1dad048aa2/lexus-ls-xf20-1997-3d-model-max-obj-3ds-fbx-c4d-lwo-lw-lws.jpg
zmw,gas,two,sedan,rwd,front,3380,six,182,5400,16,22,41315,https://img1.cgtrader.com/items/768188/527f2449f4/aston-martin-vanquish-3d-model-max-fbx-c4d-dae.jpg
zmw,gas,four,sedan,rwd,front,3505,six,182,5400,15,20,36880,https://img-new.cgtrader.com/items/1890586/6ddec3cbf0/mercedes-c-class-3d-model-mat.jpg
xevrolet,gas,two,hatchback,fwd,front,1488,three,48,5100,47,53,5151,https://img-new.cgtrader.com/items/2167557/f0329488ad/toyota-aygo-x-cite-3-door-2014-3d-model-max-obj-mtl-3ds-fbx-c4d-lwo-lw-lws.jpg
xevrolet,gas,two,hatchback,fwd,front,1874,four,70,5400,38,43,6295,https://img-new.cgtrader.com/items/2167557/f0329488ad/toyota-aygo-x-cite-3-door-2014-3d-model-max-obj-mtl-3ds-fbx-c4d-lwo-lw-lws.jpg
xevrolet,gas,four,sedan,fwd,front,1909,four,70,5400,38,43,6575,https://img-new.cgtrader.com/items/181335/e053b4bd0f/volkswagen-passat-b6-3d-model-low-poly-max-obj-3ds-fbx.jpg
totge,gas,two,hatchback,fwd,front,1876,four,68,5500,37,41,5572,https://img-new.cgtrader.com/items/2167557/f0329488ad/toyota-aygo-x-cite-3-door-2014-3d-model-max-obj-mtl-3ds-fbx-c4d-lwo-lw-lws.jpg
totge,gas,two,hatchback,fwd,front,1876,four,68,5500,31,38,6377,https://img-new.cgtrader.com/items/2167557/f0329488ad/toyota-aygo-x-cite-3-door-2014-3d-model-max-obj-mtl-3ds-fbx-c4d-lwo-lw-lws.jpg
totge,gas,two,hatchback,fwd,front,2128,four,102,5500,24,30,7957,https://img-new.cgtrader.com/items/2167557/f0329488ad/toyota-aygo-x-cite-3-door-2014-3d-model-max-obj-mtl-3ds-fbx-c4d-lwo-lw-lws.jpg
totge,gas,four,hatchback,fwd,front,1967,four,68,5500,31,38,6229,https://img-new.cgtrader.com/items/2167557/f0329488ad/toyota-aygo-x-cite-3-door-2014-3d-model-max-obj-mtl-3ds-fbx-c4d-lwo-lw-lws.jpg
totge,gas,four,sedan,fwd,front,1989,four,68,5500,31,38,6692,https://img-new.cgtrader.com/items/12310/25f5286eea/mercedes-benz-cla-class-amg-2014-3d-model-max-obj-3ds-fbx-c4d-lwo.jpg
totge,gas,four,sedan,fwd,front,1989,four,68,5500,31,38,7609,https://img-new.cgtrader.com/items/12310/25f5286eea/mercedes-benz-cla-class-amg-2014-3d-model-max-obj-3ds-fbx-c4d-lwo.jpg
totge,gas,four,wagon,fwd,front,2535,four,88,5000,24,30,8921,https://img1.cgtrader.com/items/2165462/346d176072/mazda-6-wagon-2015-vray-3d-model-max-obj-mtl-3ds-fbx-c4d-lwo-lw-lws.jpg
totge,gas,two,hatchback,fwd,front,2811,four,145,5000,19,24,12964,https://img-new.cgtrader.com/items/2167557/f0329488ad/toyota-aygo-x-cite-3-door-2014-3d-model-max-obj-mtl-3ds-fbx-c4d-lwo-lw-lws.jpg
jounda,gas,two,hatchback,fwd,front,1713,four,58,4800,49,54,6479,https://img-new.cgtrader.com/items/2167557/f0329488ad/toyota-aygo-x-cite-3-door-2014-3d-model-max-obj-mtl-3ds-fbx-c4d-lwo-lw-lws.jpg
jounda,gas,two,hatchback,fwd,front,1819,four,76,6000,31,38,6855,https://img-new.cgtrader.com/items/2167557/f0329488ad/toyota-aygo-x-cite-3-door-2014-3d-model-max-obj-mtl-3ds-fbx-c4d-lwo-lw-lws.jpg
jounda,gas,two,hatchback,fwd,front,1837,four,60,5500,38,42,5399,https://img-new.cgtrader.com/items/2167557/f0329488ad/toyota-aygo-x-cite-3-door-2014-3d-model-max-obj-mtl-3ds-fbx-c4d-lwo-lw-lws.jpg
jounda,gas,two,hatchback,fwd,front,1940,four,76,6000,30,34,6529,https://img-new.cgtrader.com/items/2167557/f0329488ad/toyota-aygo-x-cite-3-door-2014-3d-model-max-obj-mtl-3ds-fbx-c4d-lwo-lw-lws.jpg
jounda,gas,two,hatchback,fwd,front,1956,four,76,6000,30,34,7129,https://img-new.cgtrader.com/items/2167557/f0329488ad/toyota-aygo-x-cite-3-door-2014-3d-model-max-obj-mtl-3ds-fbx-c4d-lwo-lw-lws.jpg
jounda,gas,four,sedan,fwd,front,2010,four,76,6000,30,34,7295,https://img-new.cgtrader.com/items/12310/25f5286eea/mercedes-benz-cla-class-amg-2014-3d-model-max-obj-3ds-fbx-c4d-lwo.jpg
jounda,gas,four,wagon,fwd,front,2024,four,76,6000,30,34,7295,https://img1.cgtrader.com/items/2165462/346d176072/mazda-6-wagon-2015-vray-3d-model-max-obj-mtl-3ds-fbx-c4d-lwo-lw-lws.jpg
jounda,gas,two,hatchback,fwd,front,2236,four,86,5800,27,33,7895,https://img-new.cgtrader.com/items/2167557/f0329488ad/toyota-aygo-x-cite-3-door-2014-3d-model-max-obj-mtl-3ds-fbx-c4d-lwo-lw-lws.jpg
jounda,gas,two,hatchback,fwd,front,2289,four,86,5800,27,33,9095,https://img-new.cgtrader.com/items/2167557/f0329488ad/toyota-aygo-x-cite-3-door-2014-3d-model-max-obj-mtl-3ds-fbx-c4d-lwo-lw-lws.jpg
jounda,gas,four,sedan,fwd,front,2304,four,86,5800,27,33,8845,https://img-new.cgtrader.com/items/12310/25f5286eea/mercedes-benz-cla-class-amg-2014-3d-model-max-obj-3ds-fbx-c4d-lwo.jpg
jounda,gas,four,sedan,fwd,front,2372,four,86,5800,27,33,10295,https://img1.cgtrader.com/items/665111/6286bb58c4/hyundai-elantra-sedan-2016-vray-3d-model-max-obj-3ds-fbx-c4d-lwo-lw-lws.jpg
jounda,gas,four,sedan,fwd,front,2465,four,101,5800,24,28,12945,https://img1.cgtrader.com/items/665111/6286bb58c4/hyundai-elantra-sedan-2016-vray-3d-model-max-obj-3ds-fbx-c4d-lwo-lw-lws.jpg
jounda,gas,two,sedan,fwd,front,2293,four,100,5500,25,31,10345,https://img-new.cgtrader.com/items/2198786/cb9da1ac18/audi-rs5-coupe-3d-model-fbx.jpg
vivuza,gas,four,sedan,rwd,front,2337,four,78,4800,24,29,6785,https://img-new.cgtrader.com/items/181335/e053b4bd0f/volkswagen-passat-b6-3d-model-low-poly-max-obj-3ds-fbx.jpg
vivuza,gas,two,sedan,fwd,front,1874,four,70,5400,38,43,8950,https://img-new.cgtrader.com/items/2198786/cb9da1ac18/audi-rs5-coupe-3d-model-fbx.jpg
vivuza,gas,four,sedan,fwd,front,1909,four,70,5400,38,43,21453,https://img1.cgtrader.com/items/1869211/4baaf92e08/audi-a5-sportback-2017-3d-model-max-obj-mtl-3ds-fbx-c4d-lwo-lw-lws.jpg
vivuza,gas,two,hatchback,rwd,front,2734,four,90,5000,24,29,11048,https://img2.cgtrader.com/items/39439/087cd09563/volkswagen-golf-vii-r-2014-3d-model-max-obj-3ds-fbx-c4d-lwo-lw-lws.jpg
rosette,gas,four,sedan,rwd,front,4066,six,176,4750,15,19,32250,https://img-new.cgtrader.com/items/1890586/6ddec3cbf0/mercedes-c-class-3d-model-mat.jpg
rosette,gas,four,sedan,rwd,front,4066,six,176,4750,15,19,35550,https://img-new.cgtrader.com/items/1890586/6ddec3cbf0/mercedes-c-class-3d-model-mat.jpg
rosette,gas,two,sedan,rwd,front,3950,twelve,262,5000,13,17,36000,https://img2.cgtrader.com/items/1975394/3c319c8d43/toyota-supra-2020-with-interior-3d-model-max-obj-mtl-3ds-fbx-c4d-lwo-lw-lws.jpg
pazda,gas,two,hatchback,fwd,front,1890,four,68,5000,30,31,5195,https://img-new.cgtrader.com/items/2167557/f0329488ad/toyota-aygo-x-cite-3-door-2014-3d-model-max-obj-mtl-3ds-fbx-c4d-lwo-lw-lws.jpg
pazda,gas,two,hatchback,fwd,front,1900,four,68,5000,31,38,6095,https://img-new.cgtrader.com/items/2167557/f0329488ad/toyota-aygo-x-cite-3-door-2014-3d-model-max-obj-mtl-3ds-fbx-c4d-lwo-lw-lws.jpg
pazda,gas,two,hatchback,fwd,front,1905,four,68,5000,31,38,6795,https://img-new.cgtrader.com/items/2167557/f0329488ad/toyota-aygo-x-cite-3-door-2014-3d-model-max-obj-mtl-3ds-fbx-c4d-lwo-lw-lws.jpg
pazda,gas,four,sedan,fwd,front,1945,four,68,5000,31,38,6695,https://img1.cgtrader.com/items/2167509/e1a952e583/tesla-model-3-with-hq-interior-2018-3d-model-max-obj-mtl-3ds-fbx-c4d-lwo-lw-lws.jpg
pazda,gas,four,sedan,fwd,front,1950,four,68,5000,31,38,7395,https://img1.cgtrader.com/items/2167509/e1a952e583/tesla-model-3-with-hq-interior-2018-3d-model-max-obj-mtl-3ds-fbx-c4d-lwo-lw-lws.jpg
pazda,gas,two,hatchback,rwd,front,2380,two,101,6000,17,23,10945,https://img2.cgtrader.com/items/39439/087cd09563/volkswagen-golf-vii-r-2014-3d-model-max-obj-3ds-fbx-c4d-lwo-lw-lws.jpg
pazda,gas,two,hatchback,rwd,front,2380,two,101,6000,17,23,11845,https://img2.cgtrader.com/items/39439/087cd09563/volkswagen-golf-vii-r-2014-3d-model-max-obj-3ds-fbx-c4d-lwo-lw-lws.jpg
pazda,gas,two,hatchback,rwd,front,2385,two,101,6000,17,23,13645,https://img2.cgtrader.com/items/39439/087cd09563/volkswagen-golf-vii-r-2014-3d-model-max-obj-3ds-fbx-c4d-lwo-lw-lws.jpg
pazda,gas,two,hatchback,rwd,front,2500,two,135,6000,16,23,15645,https://img2.cgtrader.com/items/39439/087cd09563/volkswagen-golf-vii-r-2014-3d-model-max-obj-3ds-fbx-c4d-lwo-lw-lws.jpg
pazda,gas,two,hatchback,fwd,front,2385,four,84,4800,26,32,8845,https://img-new.cgtrader.com/items/2167557/f0329488ad/toyota-aygo-x-cite-3-door-2014-3d-model-max-obj-mtl-3ds-fbx-c4d-lwo-lw-lws.jpg
pazda,gas,four,sedan,fwd,front,2410,four,84,4800,26,32,8495,https://img1.cgtrader.com/items/2167509/e1a952e583/tesla-model-3-with-hq-interior-2018-3d-model-max-obj-mtl-3ds-fbx-c4d-lwo-lw-lws.jpg
pazda,gas,two,hatchback,fwd,front,2385,four,84,4800,26,32,10595,https://img-new.cgtrader.com/items/2167557/f0329488ad/toyota-aygo-x-cite-3-door-2014-3d-model-max-obj-mtl-3ds-fbx-c4d-lwo-lw-lws.jpg
pazda,gas,four,sedan,fwd,front,2410,four,84,4800,26,32,10245,https://img-new.cgtrader.com/items/1890586/6ddec3cbf0/mercedes-c-class-3d-model-mat.jpg
pazda,diesel,two,sedan,fwd,front,2443,four,64,4650,36,42,10795,https://img-new.cgtrader.com/items/2198786/cb9da1ac18/audi-rs5-coupe-3d-model-fbx.jpg
pazda,gas,four,hatchback,fwd,front,2425,four,84,4800,26,32,11245,https://img-new.cgtrader.com/items/2167557/f0329488ad/toyota-aygo-x-cite-3-door-2014-3d-model-max-obj-mtl-3ds-fbx-c4d-lwo-lw-lws.jpg
pazda,gas,four,sedan,rwd,front,2670,four,120,5000,19,27,18280,https://img1.cgtrader.com/items/665111/6286bb58c4/hyundai-elantra-sedan-2016-vray-3d-model-max-obj-3ds-fbx-c4d-lwo-lw-lws.jpg
pazda,diesel,four,sedan,rwd,front,2700,four,72,4200,31,39,18344,https://img1.cgtrader.com/items/1869211/4baaf92e08/audi-a5-sportback-2017-3d-model-max-obj-mtl-3ds-fbx-c4d-lwo-lw-lws.jpg
kercedez-lenz,diesel,four,sedan,rwd,front,3515,five,123,4350,22,25,25552,https://img-new.cgtrader.com/items/12708/1dad048aa2/lexus-ls-xf20-1997-3d-model-max-obj-3ds-fbx-c4d-lwo-lw-lws.jpg
kercedez-lenz,diesel,four,wagon,rwd,front,3750,five,123,4350,22,25,28248,https://img2.cgtrader.com/items/2113353/ac8987ebb8/audi-rs6-avant-2020-3d-model-max--obj-mtl-3ds-fbx-c4d-lwo-lw-lws.jpg
kercedez-lenz,diesel,two,hardtop,rwd,front,3495,five,123,4350,22,25,28176,https://img1.cgtrader.com/items/137631/09474ef156/toyota-land-cruiser-hardtop-1955-3d-model-max-obj-3ds-fbx-c4d-lwo-lw-lws.jpg
kercedez-lenz,diesel,four,sedan,rwd,front,3770,five,123,4350,22,25,31600,https://img1.cgtrader.com/items/665111/6286bb58c4/hyundai-elantra-sedan-2016-vray-3d-model-max-obj-3ds-fbx-c4d-lwo-lw-lws.jpg
kercedez-lenz,gas,four,sedan,rwd,front,3740,eight,155,4750,16,18,34184,https://img1.cgtrader.com/items/2167509/e1a952e583/tesla-model-3-with-hq-interior-2018-3d-model-max-obj-mtl-3ds-fbx-c4d-lwo-lw-lws.jpg
kercedez-lenz,gas,two,convertible,rwd,front,3685,eight,155,4750,16,18,35056,https://img1.cgtrader.com/items/850944/ee45d19e06/ferrari-f430-spyder-3d-model-low-poly-max-obj-3ds-fbx-mtl-tga.jpg
kercedez-lenz,gas,four,sedan,rwd,front,3900,eight,184,4500,14,16,40960,https://img-new.cgtrader.com/items/181335/e053b4bd0f/volkswagen-passat-b6-3d-model-low-poly-max-obj-3ds-fbx.jpg
kercedez-lenz,gas,two,hardtop,rwd,front,3715,eight,184,4500,14,16,45400,https://img2.cgtrader.com/items/879748/0ed5fdba24/mazda-mx-5-hardtop-unity-3d-cycles-ready-3d-model-animated-obj-mtl-fbx-blend-dae.jpg
venus,gas,two,hatchback,rwd,front,2910,four,175,5000,19,24,16503,https://img2.cgtrader.com/items/39439/087cd09563/volkswagen-golf-vii-r-2014-3d-model-max-obj-3ds-fbx-c4d-lwo-lw-lws.jpg
vitsugishi,gas,two,hatchback,fwd,front,1918,four,68,5500,37,41,5389,https://img-new.cgtrader.com/items/2167557/f0329488ad/toyota-aygo-x-cite-3-door-2014-3d-model-max-obj-mtl-3ds-fbx-c4d-lwo-lw-lws.jpg
vitsugishi,gas,two,hatchback,fwd,front,1944,four,68,5500,31,38,6189,https://img-new.cgtrader.com/items/2167557/f0329488ad/toyota-aygo-x-cite-3-door-2014-3d-model-max-obj-mtl-3ds-fbx-c4d-lwo-lw-lws.jpg
vitsugishi,gas,two,hatchback,fwd,front,2004,four,68,5500,31,38,6669,https://img-new.cgtrader.com/items/2167557/f0329488ad/toyota-aygo-x-cite-3-door-2014-3d-model-max-obj-mtl-3ds-fbx-c4d-lwo-lw-lws.jpg
vitsugishi,gas,two,hatchback,fwd,front,2145,four,102,5500,24,30,7689,https://img-new.cgtrader.com/items/2167557/f0329488ad/toyota-aygo-x-cite-3-door-2014-3d-model-max-obj-mtl-3ds-fbx-c4d-lwo-lw-lws.jpg
vitsugishi,gas,two,hatchback,fwd,front,2370,four,116,5500,23,30,9959,https://img-new.cgtrader.com/items/2167557/f0329488ad/toyota-aygo-x-cite-3-door-2014-3d-model-max-obj-mtl-3ds-fbx-c4d-lwo-lw-lws.jpg
vitsugishi,gas,two,hatchback,fwd,front,2328,four,88,5000,25,32,8499,https://img-new.cgtrader.com/items/2167557/f0329488ad/toyota-aygo-x-cite-3-door-2014-3d-model-max-obj-mtl-3ds-fbx-c4d-lwo-lw-lws.jpg
vitsugishi,gas,two,hatchback,fwd,front,2833,four,145,5000,19,24,12629,https://img-new.cgtrader.com/items/2167557/f0329488ad/toyota-aygo-x-cite-3-door-2014-3d-model-max-obj-mtl-3ds-fbx-c4d-lwo-lw-lws.jpg
vitsugishi,gas,two,hatchback,fwd,front,2921,four,145,5000,19,24,14869,https://img-new.cgtrader.com/items/2167557/f0329488ad/toyota-aygo-x-cite-3-door-2014-3d-model-max-obj-mtl-3ds-fbx-c4d-lwo-lw-lws.jpg
vitsugishi,gas,two,hatchback,fwd,front,2926,four,145,5000,19,24,14489,https://img-new.cgtrader.com/items/2167557/f0329488ad/toyota-aygo-x-cite-3-door-2014-3d-model-max-obj-mtl-3ds-fbx-c4d-lwo-lw-lws.jpg
vitsugishi,gas,four,sedan,fwd,front,2365,four,88,5000,25,32,6989,https://img-new.cgtrader.com/items/12310/25f5286eea/mercedes-benz-cla-class-amg-2014-3d-model-max-obj-3ds-fbx-c4d-lwo.jpg
vitsugishi,gas,four,sedan,fwd,front,2405,four,88,5000,25,32,8189,https://img1.cgtrader.com/items/2167509/e1a952e583/tesla-model-3-with-hq-interior-2018-3d-model-max-obj-mtl-3ds-fbx-c4d-lwo-lw-lws.jpg
vitsugishi,gas,four,sedan,fwd,front,2403,four,116,5500,23,30,9279,https://img1.cgtrader.com/items/665111/6286bb58c4/hyundai-elantra-sedan-2016-vray-3d-model-max-obj-3ds-fbx-c4d-lwo-lw-lws.jpg
vitsugishi,gas,four,sedan,fwd,front,2403,four,116,5500,23,30,9279,https://img1.cgtrader.com/items/665111/6286bb58c4/hyundai-elantra-sedan-2016-vray-3d-model-max-obj-3ds-fbx-c4d-lwo-lw-lws.jpg
wissan,gas,two,sedan,fwd,front,1889,four,69,5200,31,37,5499,https://img2.cgtrader.com/items/130414/fba222031e/fiat-600-d-1960-3d-model-max-obj-3ds-fbx-c4d-lwo-lw-lws.jpg
wissan,diesel,two,sedan,fwd,front,2017,four,55,4800,45,50,7099,https://img2.cgtrader.com/items/2114796/19dbaadf73/granada-2dr-sedan-1981-3d-model-low-poly-max-obj-mtl-3ds.jpg
wissan,gas,two,sedan,fwd,front,1918,four,69,5200,31,37,6649,https://img1.cgtrader.com/items/2114788/35dd3bb362/fairmont-futura-1978-and-5-exterior-custom-parts-3d-model-low-poly-max--obj-mtl-3ds.jpg
wissan,gas,four,sedan,fwd,front,1938,four,69,5200,31,37,6849,https://img1.cgtrader.com/items/665111/6286bb58c4/hyundai-elantra-sedan-2016-vray-3d-model-max-obj-3ds-fbx-c4d-lwo-lw-lws.jpg
wissan,gas,four,wagon,fwd,front,2024,four,69,5200,31,37,7349,https://img1.cgtrader.com/items/2165462/346d176072/mazda-6-wagon-2015-vray-3d-model-max-obj-mtl-3ds-fbx-c4d-lwo-lw-lws.jpg
wissan,gas,two,sedan,fwd,front,1951,four,69,5200,31,37,7299,https://img1.cgtrader.com/items/2114788/35dd3bb362/fairmont-futura-1978-and-5-exterior-custom-parts-3d-model-low-poly-max--obj-mtl-3ds.jpg
wissan,gas,two,hatchback,fwd,front,2028,four,69,5200,31,37,7799,https://img-new.cgtrader.com/items/2167557/f0329488ad/toyota-aygo-x-cite-3-door-2014-3d-model-max-obj-mtl-3ds-fbx-c4d-lwo-lw-lws.jpg
wissan,gas,four,sedan,fwd,front,1971,four,69,5200,31,37,7499,https://img1.cgtrader.com/items/2167509/e1a952e583/tesla-model-3-with-hq-interior-2018-3d-model-max-obj-mtl-3ds-fbx-c4d-lwo-lw-lws.jpg
wissan,gas,four,wagon,fwd,front,2037,four,69,5200,31,37,7999,https://img2.cgtrader.com/items/2158972/2e019a9181/opel-astra-sports-tourer-2017-vray-3d-model-max-obj-mtl-3ds-fbx-c4d-lwo-lw-lws.jpg
wissan,gas,two,hardtop,fwd,front,2008,four,69,5200,31,37,8249,https://img2.cgtrader.com/items/879748/0ed5fdba24/mazda-mx-5-hardtop-unity-3d-cycles-ready-3d-model-animated-obj-mtl-fbx-blend-dae.jpg
wissan,gas,four,hatchback,fwd,front,2324,four,97,5200,27,34,8949,https://img-new.cgtrader.com/items/2167557/f0329488ad/toyota-aygo-x-cite-3-door-2014-3d-model-max-obj-mtl-3ds-fbx-c4d-lwo-lw-lws.jpg
